Time \ Name,A,B
0,1,1
1,0.9574,20.9668
2,0.9665,22.8402
3,0.9853,24.8758
4,1.0151,27.083
5,1.0579,29.4701
6,1.1163,32.0434
7,1.1937,34.8061
8,1.2948,37.7567
9,1.4261,40.8864
10,1.596,44.1762
11,1.8165,47.592
12,2.1034,51.0784
13,2.4785,54.5503
14,2.9708,57.8829
15,3.6182,60.8995
16,4.4679,63.3621
17,5.5743,64.9687
18,6.9908,65.3713
19,8.7521,64.2287
20,10.8471,61.3036
21,13.1883,56.5877
22,15.6003,50.3916
23,17.846,43.32
24,19.6929,36.1058
25,20.9824,29.3894
26,21.6642,23.5715
27,21.8116,20.7339
28,21.8433,20.1191
29,21.8766,20.1582
30,21.9098,20.1871
31,21.9425,20.2077
32,21.9767,20.215
33,22.0111,20.2114
34,22.0447,20.1992
35,22.0766,20.1807
36,22.1097,20.1501
37,22.1422,20.1103
38,22.1772,20.7221
39,22.2096,20.6626
40,22.2488,20.2446
41,22.2795,20.1678
42,22.3151,20.737
43,22.3469,20.637
44,22.3817,20.1875
45,22.4178,20.7247
46,22.4542,20.2508
47,22.486,20.1096
48,22.5194,20.6212
49,22.5569,20.1136
50,22.597,20.2561
51,22.6309,20.734
52,22.6653,20.2005
53,22.7018,20.6508
54,22.7434,20.7458
55,22.7773,20.1793
56,22.8209,20.2473
57,22.8507,20.667
58,22.8918,20.7181
59,22.9375,20.7464
60,22.9716,20.1203
61,23.0064,20.1495
62,23.0437,20.1625
63,23.0818,20.1625
64,23.1193,20.1523
65,23.1552,20.1344
66,23.1887,20.111
67,23.2194,20.0841
68,23.2469,20.0553
69,23.271,20.026
70,23.2917,20.3304
71,23.323,20.6045
72,23.3508,20.5435
73,23.3719,20.1561
74,23.4044,20.0696
75,23.4276,20.3282
76,23.4566,20.5665
77,23.4784,20.1455
78,23.5083,20.033
79,23.5335,20.5896
80,23.5565,20.1427
81,23.5849,20.01
82,23.6098,20.5438
83,23.6345,20.0708
84,23.658,20.5929
85,23.6834,20.1036
86,23.7057,20.6132
87,23.7324,20.1063
88,23.7581,20.5938
89,23.7857,20.0693
90,23.8104,20.5434
91,23.8354,20.0091
92,23.8564,20.1432
93,23.8802,20.5972
94,23.9063,20.0395
95,23.9293,20.4807
96,23.9493,20.5888
97,23.9734,20.0147
98,23.9928,20.1109
99,24.0149,20.5281
100,24.0352,20.6099
101,24.0601,20.0079
102,24.0814,20.0741
103,24.1019,20.1352
104,24.1249,20.5176
105,24.1456,20.5649
106,24.1677,20.6031
107,24.1898,20.3009
108,24.2118,20.3263
109,24.2324,20.0148
110,24.2517,20.0337
111,24.2727,20.0429
112,24.2943,20.0442
113,24.3157,20.0395
114,24.3363,20.0303
115,24.3555,20.0179
116,24.3732,20.0036
117,24.4031,20.2884
118,24.4203,20.5939
