Time \ Name,A,B
0,1,1
1,0.9239,1.0893
2,0.8552,1.188
3,0.7933,1.2968
4,0.7376,1.4168
5,0.6874,1.5492
6,0.6425,1.6951
7,0.6024,1.856
8,0.5667,2.0333
9,0.535,2.2287
10,0.5073,2.4439
11,0.4831,2.681
12,0.4624,2.942
13,0.445,3.2294
14,0.4309,3.5457
15,0.4199,3.8937
16,0.4123,4.2764
17,0.4081,4.6972
18,0.4075,5.1596
19,0.4108,5.6673
20,0.4186,6.2246
21,0.4316,6.8355
22,0.4507,7.5047
23,0.4773,8.2365
24,0.5132,9.0355
25,0.5611,9.9058
26,0.6248,10.8509
27,0.7095,11.8731
28,0.8229,12.9724
29,0.9764,14.1453
30,1.1869,15.3827
31,1.4796,16.666
32,1.8928,17.962
33,2.4842,19.2151
34,3.3394,20.3365
35,4.5798,21.1914
36,6.3626,21.5918
37,8.8532,21.3098
38,9.8242,20.4535
39,8.6547,19.5872
40,9.7776,18.823
41,8.8493,17.9872
42,9.7644,17.2119
43,9.9953,16.4978
44,9.0344,15.8658
45,9.0077,15.2191
46,9.3378,14.6321
47,9.0859,14.0366
48,9.2027,13.5007
49,8.7586,12.9299
50,9.703,12.4058
51,9.5185,11.9306
52,8.7829,11.4306
53,9.9462,10.9781
54,9.4931,10.5895
55,9.5352,10.1078
56,9.9869,9.6485
57,9.2863,9.3185
58,9.5797,8.9125
59,9.8017,8.5101
60,9.9498,8.1215
61,9.5229,7.7497
62,8.5229,7.4018
63,8.9228,7.1768
64,9.2962,6.9183
65,9.6327,6.6337
66,9.9228,6.3308
67,8.6399,6.105
68,8.8167,5.9189
69,8.9629,5.7245
70,9.0757,5.5258
71,9.1533,5.3263
72,9.1951,5.1295
73,9.2012,4.9381
74,9.1728,4.7547
75,9.112,4.5812
76,9.0212,4.4191
77,8.9034,4.2694
78,8.7621,4.1328
79,8.6006,4.0096
80,8.4225,3.9001
81,8.2312,3.8042
82,8.0298,3.7215
83,7.8215,3.6518
84,7.6089,3.5948
85,7.3946,3.5501
86,7.1808,3.5172
87,6.9693,3.4957
88,6.7619,3.4853
89,6.5601,3.4856
90,6.3649,3.4964
91,6.1776,3.5172
92,5.9988,3.5479
93,5.8293,3.5882
94,5.6698,3.638
95,5.5206,3.697
96,5.3822,3.765
97,5.2548,3.842
98,5.1388,3.9277
99,5.0345,4.022
100,4.9419,4.1246
101,4.8615,4.2353
102,4.7933,4.3538
103,4.7377,4.4798
104,4.6948,4.6129
105,4.6651,4.7525
106,4.6488,4.8981
107,4.6463,5.0488
108,4.658,5.2038
109,4.6844,5.362
110,4.726,5.5222
111,4.7833,5.683
112,4.8568,5.8427
113,4.9472,5.9995
114,5.0548,6.1515
115,5.1801,6.2962
116,5.3234,6.4314
117,5.4849,6.5545
118,5.6644,6.6629
119,5.8615,6.754
120,6.0753,6.8253
121,6.3045,6.8744
122,6.5473,6.8994
123,6.801,6.8987
124,7.0626,6.8713
125,7.3283,6.8171
126,7.5937,6.7363
127,7.854,6.6302
128,8.1041,6.5009
129,8.3388,6.3509
130,8.5531,6.1835
131,8.7423,6.0022
132,8.9024,5.811
133,9.0302,5.6137
134,9.1235,5.4142
135,9.1811,5.2158
136,9.2028,5.0217
137,9.1895,4.8345
138,9.1427,4.6564
139,9.0647,4.4891
140,8.9585,4.3338
141,8.8271,4.1914
142,8.6741,4.0623
143,8.5029,3.9468
144,8.317,3.8448
145,8.1197,3.7563
146,7.9141,3.681
147,7.7031,3.6185
148,7.4892,3.5684
149,7.2749,3.5303
150,7.0622,3.5038
151,6.8528,3.4886
152,6.6484,3.4842
153,6.4501,3.4904
154,6.2592,3.5068
155,6.0765,3.5332
156,5.9029,3.5693
157,5.7389,3.6149
158,5.5851,3.6698
159,5.4419,3.7339
160,5.3096,3.8069
161,5.1886,3.8888
162,5.0791,3.9793
163,4.9813,4.0783
164,4.8955,4.1855
165,4.8219,4.3006
166,4.7607,4.4233
167,4.7121,4.5534
168,4.6766,4.6902
169,4.6543,4.8332
170,4.6456,4.9817
171,4.651,5.1349
172,4.6709,5.2918
173,4.7057,5.4513
174,4.756,5.6121
175,4.8223,5.7725
176,4.9052,5.9308
177,5.0052,6.0852
178,5.1226,6.2334
179,5.258,6.3731
180,5.4115,6.5019
181,5.583,6.6171
182,5.7724,6.7161
183,5.979,6.7964
184,6.2016,6.8556
185,6.4387,6.8914
186,6.6879,6.9022
187,6.9465,6.8867
188,7.2109,6.8443
189,7.477,6.7751
190,7.7401,6.68
191,7.9954,6.5607
192,8.2375,6.4194
193,8.4614,6.2592
194,8.6622,6.0836
195,8.8356,5.8963
196,8.9779,5.7013
197,9.0867,5.5023
198,9.1601,5.303
199,9.1976,5.1066
200,9.1996,4.9161
201,9.1673,4.7338
202,9.1028,4.5615
203,9.0086,4.4008
204,8.8879,4.2526
205,8.7441,4.1176
206,8.5805,3.996
207,8.4006,3.8881
208,8.208,3.7937
209,8.0056,3.7126
210,7.7967,3.6445
211,7.5838,3.5889
212,7.3694,3.5456
213,7.1557,3.5141
214,6.9447,3.4939
215,6.7379,3.4848
216,6.5367,3.4864
217,6.3425,3.4983
218,6.1561,3.5203
219,5.9783,3.5521
220,5.81,3.5936
221,5.6517,3.6444
222,5.5037,3.7045
223,5.3666,3.7736
224,5.2406,3.8516
225,5.1259,3.9384
226,5.023,4.0336
227,4.9318,4.1372
228,4.8528,4.2488
229,4.7861,4.3683
230,4.732,4.4951
231,4.6907,4.629
232,4.6625,4.7694
233,4.6478,4.9155
234,4.6469,5.0668
235,4.6603,5.2222
