Time \ Name,A,B
0,1,1
1,0.9239,1.0893
2,0.8552,1.188
3,0.7933,1.2968
4,0.7376,1.4168
5,0.6874,1.5492
6,0.6425,1.6951
7,0.6024,1.856
8,0.5667,2.0333
9,0.535,2.2287
10,0.5073,2.4439
11,0.4831,2.681
12,0.4624,2.942
13,0.445,3.2294
14,0.4309,3.5457
15,0.4199,3.8937
16,0.4123,4.2764
17,0.4081,4.6972
18,0.4075,5.1596
19,0.4108,5.6673
20,0.4186,6.2246
21,0.4316,6.8355
22,0.4507,7.5047
23,0.4773,8.2365
24,0.5132,9.0355
25,0.5611,9.9058
26,0.6248,10.8509
27,0.7095,11.8731
28,0.8229,12.9724
29,0.9764,14.1453
30,1.1869,15.3827
31,1.4796,16.666
32,1.8928,17.962
33,2.4842,19.2151
34,3.3394,20.3365
35,4.5798,21.1914
36,6.3626,21.5918
37,8.8532,21.3098
38,12.1445,20.1394
39,16.1183,18.0179
40,20.2712,15.1477
41,19.7548,12.3825
42,18.398,10.2751
43,20.0828,8.5033
44,21.1883,6.8906
45,21.6953,5.5168
46,21.6684,4.4016
47,21.1452,3.525
48,16.7013,2.9361
49,13.1161,2.598
50,12.4715,2.3698
51,11.8095,2.183
52,11.145,2.031
53,10.4892,1.9085
54,9.8503,1.8108
55,9.2342,1.7344
56,8.6451,1.6763
57,8.0855,1.6342
58,7.5569,1.6062
59,7.0598,1.5909
60,6.5941,1.5872
61,6.1593,1.5941
62,5.7546,1.6113
63,5.3789,1.6381
64,5.0309,1.6745
65,4.7092,1.7203
66,4.4126,1.7755
67,4.1397,1.8404
68,3.889,1.9152
69,3.6594,2.0001
70,3.4495,2.0958
71,3.2583,2.2026
72,3.0846,2.3212
73,2.9274,2.4523
74,2.786,2.5966
75,2.6593,2.7549
76,2.5469,2.928
77,2.4481,3.1171
78,2.3624,3.3229
79,2.2895,3.5465
80,2.2292,3.7889
81,2.1815,4.0512
82,2.1465,4.3343
83,2.1245,4.6393
84,2.1161,4.9668
85,2.122,5.3175
86,2.1435,5.6918
87,2.1819,6.0898
88,2.2393,6.5109
89,2.3182,6.954
90,2.4217,7.4172
91,2.5538,7.8974
92,2.7195,8.3899
93,2.9248,8.8884
94,3.1771,9.3844
95,3.4851,9.8666
96,3.8591,10.3208
97,4.3104,10.7295
98,4.851,11.0718
99,5.4921,11.3244
100,6.2426,11.4626
101,7.1057,11.463
102,8.0758,11.3066
103,9.1344,10.9836
104,10.011,10.5011
105,10.0218,9.9872
106,11.0131,9.4264
107,11.9552,8.7684
108,12.7994,8.0474
109,13.5027,7.3001
110,13.9869,6.5609
111,11.741,5.9803
112,9.9958,5.6257
113,10.0935,5.3474
114,10.1363,5.0775
115,10.1256,4.82
116,10.0646,4.5782
117,9.9574,4.3539
118,9.8091,4.1486
119,9.6253,3.9629
120,9.4117,3.7969
121,9.1742,3.6501
122,8.9181,3.522
123,8.6486,3.4119
124,8.3702,3.3189
125,8.087,3.242
126,7.8026,3.1804
127,7.52,3.1334
128,7.2419,3.1
129,6.9703,3.0797
130,6.707,3.0718
131,6.4534,3.0758
132,6.2106,3.0913
133,5.9795,3.118
134,5.7607,3.1555
135,5.5546,3.2037
136,5.3616,3.2623
137,5.182,3.3314
138,5.0158,3.4107
139,4.8631,3.5003
140,4.7241,3.6001
141,4.5986,3.7101
142,4.4868,3.8302
143,4.3887,3.9605
144,4.3044,4.1009
145,4.2339,4.2511
146,4.1776,4.411
147,4.1356,4.5804
148,4.1083,4.7587
149,4.0961,4.9454
150,4.0996,5.1398
151,4.1193,5.3409
152,4.156,5.5475
153,4.2106,5.7582
154,4.284,5.9711
155,4.3774,6.1842
156,4.4918,6.3949
157,4.6284,6.6004
158,4.7884,6.7974
159,4.973,6.9822
160,5.183,7.1508
161,5.419,7.299
162,5.6813,7.4225
163,5.9693,7.517
164,6.2817,7.5785
165,6.6162,7.6035
166,6.9693,7.5893
167,7.3362,7.5343
168,7.7107,7.4381
169,8.0855,7.3019
170,8.4523,7.1284
171,8.8021,6.9216
172,9.1259,6.6869
173,9.4152,6.4305
174,9.6624,6.159
175,9.8614,5.8792
176,10.0081,5.5976
177,10.1002,5.3199
178,10.1376,5.0511
179,10.1217,4.7951
180,10.0223,4.5549
181,9.8128,4.3409
182,9.6651,4.1452
183,9.4842,3.9681
184,9.2755,3.8098
185,9.0443,3.6698
186,8.7959,3.5478
187,8.5349,3.443
188,8.2657,3.3545
189,7.9921,3.2818
190,7.7174,3.2238
191,7.4447,3.1799
192,7.1762,3.1494
193,6.9141,3.1316
194,6.6599,3.1259
195,6.4152,3.132
196,6.1809,3.1495
197,5.9579,3.1778
198,5.7469,3.2169
199,5.5482,3.2665
200,5.3623,3.3265
201,5.1893,3.3967
202,5.0295,3.477
203,4.8829,3.5674
204,4.7497,3.6679
205,4.6299,3.7784
206,4.5235,3.8988
207,4.4307,4.029
208,4.3515,4.169
209,4.2861,4.3185
210,4.2347,4.4773
211,4.1976,4.645
212,4.1752,4.8212
213,4.1679,5.0051
214,4.1763,5.1961
215,4.2009,5.3929
216,4.2426,5.5945
217,4.3021,5.7992
218,4.3804,6.0052
219,4.4786,6.2103
220,4.5976,6.412
221,4.7386,6.6073
222,4.9026,6.793
223,5.0905,6.9656
224,5.303,7.1211
225,5.5405,7.2555
226,5.8027,7.3649
227,6.089,7.4451
228,6.3976,7.4928
229,6.7258,7.5047
230,7.0699,7.4789
231,7.425,7.4141
232,7.7847,7.3105
233,8.1419,7.1696
234,8.4885,6.9944
235,8.8162,6.7889
