Time \ Name,A,B
0,1,1
1,0.9048,1.1052
2,0.8187,1.2214
3,0.7408,1.3499
4,0.6703,1.4918
5,0.6065,1.6487
6,0.5488,1.8221
7,0.498,2.0127
8,0.47,2.2083
9,0.4454,2.4239
10,0.424,2.6614
11,0.4057,2.9231
12,0.3903,3.2113
13,0.3777,3.5286
14,0.3681,3.878
15,0.3613,4.2625
16,0.3575,4.6855
17,0.3568,5.1506
18,0.3597,5.6618
19,0.3665,6.2233
20,0.3779,6.8396
21,0.3947,7.5153
22,0.4181,8.2553
23,0.4498,9.0644
24,0.4921,9.9474
25,0.5485,10.9083
26,0.6237,11.9503
27,0.7247,13.0748
28,0.8619,14.2797
29,1.0509,15.5579
30,1.3153,16.8936
31,1.6914,18.2571
32,2.235,19.5967
33,3.0305,20.8271
34,4.2026,21.8144
35,5.9204,22.364
36,8.3786,22.2257
37,11.7184,21.1503
38,15.8726,19.0213
39,20.4112,16.0145
40,24.595,12.6165
41,27.7164,9.403
42,29.4447,6.7568
43,29.8682,4.7791
44,29.2998,3.3854
45,28.0822,2.4314
46,26.2159,2
47,23.9749,2
48,21.9472,1.9999
49,20.1125,1.9999
50,18.4521,2
51,16.9501,1.9998
52,15.5907,2
53,14.3608,2
54,13.2479,2.0001
55,12.2409,2.0001
56,11.3298,2.0001
57,10.5054,2
58,9.7595,2
59,9.0845,2
60,8.4737,2.0001
61,7.9212,2
62,7.4211,2.0001
63,6.9687,2
64,6.5587,2.0005
65,6.1773,2.0095
66,5.8197,2.0298
67,5.4857,2.061
68,5.1746,2.1028
69,4.8858,2.1551
70,4.6183,2.2179
71,4.3715,2.2914
72,4.1444,2.3758
73,3.9362,2.4713
74,3.746,2.5784
75,3.5731,2.6974
76,3.4167,2.8289
77,3.2762,2.9734
78,3.1509,3.1315
79,3.0405,3.3039
80,2.9446,3.4912
81,2.8627,3.6939
82,2.795,3.9129
83,2.7412,4.1486
84,2.7017,4.4016
85,2.6767,4.6723
86,2.6668,4.9609
87,2.6729,5.2676
88,2.6959,5.5919
89,2.7372,5.9334
90,2.7987,6.2909
91,2.8825,6.6627
92,2.9914,7.0463
93,3.1286,7.4383
94,3.298,7.8341
95,3.5041,8.2278
96,3.7522,8.612
97,4.0483,8.9774
98,4.3985,9.3132
99,4.8092,9.6067
100,5.2864,9.8436
101,5.8346,10.0092
102,6.4556,10.0888
103,7.147,10.0693
104,7.901,9.9413
105,8.7024,9.7009
106,9.5286,9.3512
107,10.35,8.903
108,11.1326,8.3745
109,11.8413,7.7895
110,12.4442,7.1742
111,12.9168,6.5542
112,13.244,5.9519
113,13.4212,5.3846
114,13.4535,4.8637
115,13.353,4.3956
116,13.1369,3.982
117,12.8247,3.6218
118,12.4364,3.3116
119,11.9909,3.047
120,11.505,2.8233
121,10.9936,2.6357
122,10.469,2.4798
123,9.9412,2.3516
124,9.4182,2.2477
125,8.9061,2.1651
126,8.4096,2.1015
127,7.9321,2.0546
128,7.4758,2.023
129,7.0422,2.0051
130,6.6323,2.0001
131,6.2464,2.007
132,5.8844,2.0252
133,5.5461,2.0544
134,5.2308,2.0942
135,4.9378,2.1446
136,4.6665,2.2055
137,4.4159,2.277
138,4.1852,2.3593
139,3.9735,2.4527
140,3.7801,2.5576
141,3.604,2.6743
142,3.4446,2.8035
143,3.3011,2.9455
144,3.1731,3.1011
145,3.06,3.2707
146,2.9613,3.4552
147,2.8769,3.655
148,2.8065,3.8709
149,2.7502,4.1035
150,2.708,4.3532
