Time \ Name,A,B
0,1,1
1,0.9237,1.0891
2,0.8549,1.1875
3,0.7928,1.296
4,0.7369,1.4156
5,0.6867,1.5476
6,0.6417,1.693
7,0.6015,1.8533
8,0.5657,2.0299
9,0.534,2.2245
10,0.5061,2.4389
11,0.4819,2.6749
12,0.4611,2.9347
13,0.4436,3.2207
14,0.4293,3.5354
15,0.4183,3.8817
16,0.4105,4.2624
17,0.406,4.6809
18,0.4052,5.1407
19,0.4083,5.6456
20,0.4157,6.1996
21,0.4282,6.807
22,0.4467,7.4721
23,0.4725,8.1996
24,0.5075,8.994
25,0.554,9.8593
26,0.6158,10.7993
27,0.6979,11.8163
28,0.8076,12.911
29,0.9558,14.0803
30,1.1585,15.316
31,1.4397,16.6011
32,1.8356,17.905
33,2.4009,19.176
34,3.217,20.3305
35,4.4008,21.2409
36,6.1068,21.7259
37,8.5067,21.5584
38,11.7182,20.5169
39,15.6705,18.5006
40,19.9742,15.6652
41,23.9626,12.444
42,26.9809,9.363
43,28.6983,6.7909
44,29.1694,4.8428
45,28.6728,3.4544
46,27.5302,2.4954
47,26.0097,1.8399
48,24.3031,1.3904
49,22.5363,1.079
50,20.7872,0.86
51,19.1019,0.7036
52,17.5059,0.5902
53,16.0115,0.5068
54,14.6233,0.4447
55,13.341,0.3983
56,12.1611,0.3633
57,11.0788,0.3372
58,10.0881,0.3178
59,9.183,0.3039
60,8.3571,0.2944
61,7.6043,0.2886
62,6.9188,0.286
63,6.2949,0.2862
64,5.7274,0.289
65,5.2114,0.2942
66,4.7426,0.3017
67,4.3167,0.3114
68,3.9299,0.3235
69,3.5787,0.3379
70,3.2599,0.3547
71,2.9706,0.3741
72,2.708,0.3961
73,2.4699,0.4211
74,2.2538,0.4491
75,2.0579,0.4804
76,1.8803,0.5154
77,1.7193,0.5544
78,1.5733,0.5976
79,1.4411,0.6456
80,1.3213,0.6987
81,1.2128,0.7575
82,1.1147,0.8225
83,1.0258,0.8944
84,0.9455,0.9737
85,0.8729,1.0614
86,0.8074,1.1581
87,0.7483,1.2647
88,0.6951,1.3824
89,0.6473,1.5122
90,0.6044,1.6552
91,0.5661,1.8129
92,0.5319,1.9868
93,0.5017,2.1783
94,0.4751,2.3893
95,0.4518,2.6217
96,0.4319,2.8776
97,0.415,3.1594
98,0.4011,3.4696
99,0.3903,3.811
100,0.3824,4.1866
101,0.3777,4.5995
102,0.3763,5.0535
103,0.3785,5.5523
104,0.3846,6.0999
105,0.3954,6.7007
106,0.4116,7.3592
107,0.4344,8.0801
108,0.4653,8.8681
109,0.5067,9.7278
110,0.5617,10.6633
111,0.6349,11.6776
112,0.7327,12.7725
113,0.8648,13.9463
114,1.0455,15.1932
115,1.2963,16.4992
116,1.6499,17.8383
117,2.1562,19.1652
118,2.8907,20.4047
119,3.9645,21.4387
